address_city_s,address_postal_code_s,address_state_code_s,address_street_s,bank_statement_c,company_id_c,company_name_c,company_short_id_c,created_date,email_c,entity_name_c,identity_verification_enabled_c,last_modified_date,name,not_orphan_record_c,paystub_c,phone_c,phone_is_required_c,reverse_etl_id_c,short_id_c,snappt_property_id_c,status_c,trigger_rollups_c,unit_c,unit_is_required_c
State College,16801,PA,249 S Pugh St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 17:52:25,249southpughst@gmail.com,,False,2025-10-10 17:52:25,249 South Pugh St 387473,False,2,18444762778,True,c409d06d-c217-43a3-b083-a52bd198e7db,ed6c063150,c409d06d-c217-43a3-b083-a52bd198e7db,ACTIVE,True,3,True
Nanticoke,18634,PA,150 E Ridge St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 17:33:00,smitchrealty@gmail.com,,False,2025-10-10 17:33:00,150-152 E Ridge St. 367713,False,2,18444762778,True,38161a5f-490e-4fac-a2bb-f1c04b14137e,dca047fddd,38161a5f-490e-4fac-a2bb-f1c04b14137e,ACTIVE,True,5,True
Alexandria,22305,VA,822 W Glebe Rd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 17:23:52,capb.llc@gmail.com,,False,2025-10-10 17:23:52,822 W Glebe 787976,False,2,18444762778,True,bfc81dc5-49f1-4a08-b836-6020f8a68f24,1486b87662,bfc81dc5-49f1-4a08-b836-6020f8a68f24,ACTIVE,True,1,True
Youngstown,44512,OH,126 Boardman Blvd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 16:48:38,asgabbert@att.net,,False,2025-10-10 16:48:38,126 Boardman Blvd 779883,False,2,18444762778,True,1b307531-947a-41af-906f-c2364f2e886d,bb1ee250c6,1b307531-947a-41af-906f-c2364f2e886d,ACTIVE,True,1,True
Tulsa,74133,OK,7012 S 78th E Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 16:04:42,matt@mattwillisok.com,,False,2025-10-10 16:04:42,7012 S 78th E Ave 785350,False,2,18444762778,True,9b0896e6-010e-4208-a3a8-f54a41c3c3f7,b0ff649420,9b0896e6-010e-4208-a3a8-f54a41c3c3f7,ACTIVE,True,1,True
Gladstone,49837,MI,1424 Lake Shore Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 15:18:07,fourpointproperties.jb@gmail.com,,False,2025-10-10 15:18:07,Parkview Apartments 617380,False,2,18444762778,True,0f7a23c7-0df0-4d08-9e58-0cb02254bc3e,161d478e74,0f7a23c7-0df0-4d08-9e58-0cb02254bc3e,ACTIVE,True,8,True
Jasper,35501,AL,1408 8th Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 14:10:39,escott@dixiecomfort.com,,False,2025-10-10 14:10:39,Twin Oaks 460733,False,2,18444762778,True,92ec953d-c0f0-4d60-a3dd-b98acc1b7bc0,cb6ccaf0bf,92ec953d-c0f0-4d60-a3dd-b98acc1b7bc0,ACTIVE,True,3,True
Indian Land,29707,SC,5616 Dartington Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 11:11:20,lv2nvst1@gmail.com,,False,2025-10-10 11:11:20,5616 Dartington Dr 770803,False,2,18444762778,True,2de8bc08-4028-4441-992a-7fd7f407ba07,957de330cf,2de8bc08-4028-4441-992a-7fd7f407ba07,ACTIVE,True,1,True
Glasgow,42141,KY,310 E. Front St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 01:22:02,litpropertygroup@gmail.com,,False,2025-10-10 01:22:02,Front Street Quadplex 611387,False,2,18444762778,True,2a53a5b8-7866-4934-aea9-8acf4e0fe7ef,ce905436aa,2a53a5b8-7866-4934-aea9-8acf4e0fe7ef,ACTIVE,True,4,True
Cumberland,21502,MD,325 Williams St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-10 00:13:01,blairpayton@gmail.com,,False,2025-10-10 00:13:01,325 Williams Street 583461,False,2,18444762778,True,4fb231ba-0c16-453c-9bdc-18a5c7d1b3b0,989a9d3c21,4fb231ba-0c16-453c-9bdc-18a5c7d1b3b0,ACTIVE,True,3,True
Frankfort,66427,KS,605 N Kansas Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 23:09:51,jspropertyllc@outlook.com,,False,2025-10-09 23:09:51,605 N Kansas Ave 481269,False,2,18444762778,True,4fde8c52-e0fa-4009-80a8-e81677e7594e,d60d1d869a,4fde8c52-e0fa-4009-80a8-e81677e7594e,ACTIVE,True,1,True
Saint Paul,55106,MN,745 Margaret St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 23:06:05,jesse@minnesotapropertyco.com,,False,2025-10-09 23:06:05,745 Margaret St 546026,False,2,18444762778,True,b2135bea-83bd-4ed0-8d8d-2badbad24a5a,133079d9ac,b2135bea-83bd-4ed0-8d8d-2badbad24a5a,ACTIVE,True,4,True
Anchorage,99507,AK,5422 Larkspur Cir,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 22:52:52,mccurdyworks@gmail.com,,False,2025-10-09 22:52:52,5422 Larkspur Cir. 570134,False,2,18444762778,True,e4002a48-c8d5-4ad6-9ab2-b87a0c27ad97,11b1cbb19b,e4002a48-c8d5-4ad6-9ab2-b87a0c27ad97,ACTIVE,True,1,True
Columbus,31907,GA,1658 Forestside Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 22:03:33,billalproperties@gmail.com,,False,2025-10-09 22:03:33,Forestside Dr 1658 729145,False,2,18444762778,True,65bc6da2-134d-4fbc-82d3-1b77b6426341,72979fbb36,65bc6da2-134d-4fbc-82d3-1b77b6426341,ACTIVE,True,1,True
Rochester,14613,NY,1156 Dewey Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 21:51:39,abudfund@gmail.com,,False,2025-10-09 21:51:39,1156 Dewey Ave 215039,False,2,18444762778,True,65d7f268-292f-411d-9e6f-b58fd3e0dbb3,5854a5c3eb,65d7f268-292f-411d-9e6f-b58fd3e0dbb3,ACTIVE,True,4,True
Portland,97213,OR,4538 NE Failing St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 21:35:00,emilydominguezrealty@gmail.com,,False,2025-10-09 21:35:00,4538 NE Failing St 790574,False,2,18444762778,True,fca8e970-11a2-477c-bb35-8f8eef076bce,6b1528d837,fca8e970-11a2-477c-bb35-8f8eef076bce,ACTIVE,True,1,True
Owosso,48867,MI,634 Byerly St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 20:43:00,alissa.landris@gmail.com,,False,2025-10-09 20:43:00,Tiny House 619612,False,2,18444762778,True,715760ee-8ef5-4fcd-8530-6b6025242a85,974a55bf90,715760ee-8ef5-4fcd-8530-6b6025242a85,ACTIVE,True,1,True
Elmira,14904,NY,217 W Hudson St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 20:29:41,cindy@passivepatriots.com,,False,2025-10-09 20:29:41,"217 W Hudson St, Elmira, NY, 14904, US 424016",False,2,18444762778,True,b2441803-5227-4d9b-b5a2-fcefe6604422,0f52a84994,b2441803-5227-4d9b-b5a2-fcefe6604422,ACTIVE,True,3,True
Little River,29566,SC,1011 Maxwell Dr.,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 18:12:31,lindsay@fairclothrealestategroup.com,,False,2025-10-09 18:12:31,1011 Maxwell Dr. 792609,False,2,18444762778,True,e3957fb4-48fd-4340-987e-f1f723e3c860,a4c615fab1,e3957fb4-48fd-4340-987e-f1f723e3c860,ACTIVE,True,1,True
Sebring,33872,FL,33450 Grand Prix Dr,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-10-09 18:02:22,Sunnydaypropertypros@gmail.com,,False,2025-10-09 18:02:22,33450 Grand Prix 783365,False,2,18444762778,True,99ee1052-6b87-41ce-a3b7-d54a3dc8ce44,e9fe2aff3f,99ee1052-6b87-41ce-a3b7-d54a3dc8ce44,ACTIVE,True,1,True
Rancho Cucamonga,91730,CA,8389 Fir Drive ,2,75f52d49-3aa1-4e27-8de3-c09b0503f34e,Entrata,ty7gQ09eZE,2025-10-09 16:15:22,terraces@allmarkproperties.com,,False,2025-10-09 16:15:22,Turner 78-10214,False,2,18444762778,True,b82ba6ad-c1e4-4822-8125-fc4d5a3778fa,eeac52922d,b82ba6ad-c1e4-4822-8125-fc4d5a3778fa,ACTIVE,True,78,True
