address_city_s,address_postal_code_s,address_state_code_s,address_street_s,bank_statement_c,company_id_c,company_name_c,company_short_id_c,created_date,email_c,entity_name_c,identity_verification_enabled_c,last_modified_date,name,not_orphan_record_c,paystub_c,phone_c,phone_is_required_c,reverse_etl_id_c,short_id_c,snappt_property_id_c,status_c,trigger_rollups_c,unit_c,unit_is_required_c
Fort Lauderdale,33301,FL,477 SW 1st Avenue ,2,75f52d49-3aa1-4e27-8de3-c09b0503f34e,Entrata,ty7gQ09eZE,2025-09-30 16:37:28,info@hanoverriverwalk.com,,False,2025-10-15 16:06:28,Hanover Riverwalk-3156,False,2,18444762778,True,9cec1b92-351f-4933-9c05-839ede081bb9,5d5ada5134,9cec1b92-351f-4933-9c05-839ede081bb9,DISABLED,True,380,True
Augusta,30909,GA,3150 Skinner Mill Road,2,fe7e40b5-8f51-4c30-9422-d94e538b4fde,Southwood Realty,dK7lMuRoAR,2025-09-12 21:20:47,sara.bancroft@southwoodrealty.com,,True,2025-09-15 02:18:57,Ballantyne Augusta,False,2,8009009000,True,fd50a3c2-e0e4-4453-95d8-bfa53bee69b0,5dNzVkv38l,fd50a3c2-e0e4-4453-95d8-bfa53bee69b0,DISABLED,True,204,True
Augusta,30909,GA,3150 Skinner Mill Road,2,fe7e40b5-8f51-4c30-9422-d94e538b4fde,Southwood Realty,dK7lMuRoAR,2025-09-12 21:21:56,sara.bancroft@southwoodrealty.com,,True,2025-09-15 02:18:48,Ballantyne Augusta,False,2,3456777876,True,1bfe36a6-7a43-4f02-bc73-a20e36d625b6,38Xrxmw77B,1bfe36a6-7a43-4f02-bc73-a20e36d625b6,DISABLED,True,204,True
Durango,81301,CO,209 Jenkins Ranch Rd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 15:18:56,thebrooksproperties@gmail.com,,False,2025-11-21 15:18:56,209 Jenkins Ranch Road Unit E 281396,False,2,18444762778,True,bdbdfe5c-40c7-4023-b8fc-03bf149a41d8,c44bfb7255,bdbdfe5c-40c7-4023-b8fc-03bf149a41d8,ACTIVE,True,1,True
Youngstown,44515,OH,98 N Navarre Ave,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 15:00:51,earthandatlaspmg@gmail.com,,False,2025-11-21 15:00:51,98 N Navarre 800423,False,2,18444762778,True,ae7ec105-2ed1-4024-a297-6e3e91107369,744f5f3f06,ae7ec105-2ed1-4024-a297-6e3e91107369,ACTIVE,True,1,True
Tukwila,98188,WA,4726 Southcenter Blvd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 14:00:08,miamirsmommy21@gmail.com,,False,2025-11-21 14:00:08,Charles 801895,False,2,18444762778,True,387a6bf9-f651-441e-b50d-b046e995188f,4df7af70f5,387a6bf9-f651-441e-b50d-b046e995188f,ACTIVE,True,1,True
Fort Wayne,46806,IN,3715 Bowser Avenue,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 11:17:13,tackllc@yahoo.com,,False,2025-11-21 11:17:13,3715 Bowser 223659,False,2,18444762778,True,8dcb4965-a918-4390-9c00-6bc86a5f8c0a,73b4454114,8dcb4965-a918-4390-9c00-6bc86a5f8c0a,ACTIVE,True,1,True
Cabot,72023,AR,1212 S 1st St,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 05:35:04,naginrentals@gmail.com,,False,2025-11-21 05:35:04,1212 Henson 380153,False,2,18444762778,True,243b7cd2-05ad-400c-b149-f795583abf72,a27aebbbd3,243b7cd2-05ad-400c-b149-f795583abf72,ACTIVE,True,6,True
Gaston,29053,SC,243 Victor Road,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 05:02:22,yeetyeet19841323@gmail.com,,False,2025-11-21 05:02:22,Mine 801843,False,2,18444762778,True,9ca08c66-e02e-4ece-875b-2f71d2de07a5,69d4e9ec79,9ca08c66-e02e-4ece-875b-2f71d2de07a5,ACTIVE,True,1,True
Clementon,08021,NJ,1257 Blackwood-Clementon Rd,2,33f00170-c439-4f6c-9992-e1b434f338e5,TenantCloud LLC dba Rentler,D3hpHgLscH,2025-11-21 03:34:24,Heleema@msn.com,,False,2025-11-21 03:34:24,NV Me Salon Suites LLC 744565,False,2,18444762778,True,1d7c5db8-4bda-45a5-a712-5a19818bf2e1,9e3dfb7c51,1d7c5db8-4bda-45a5-a712-5a19818bf2e1,ACTIVE,True,13,True
